epoch,loss,accuracy
1,0.3427478479538971,0.5
50,0.01883504434504653,1.0
100,0.008103235081090177,1.0
150,0.00497081216645767,1.0
200,0.003536784970650659,1.0
250,0.002727183692592213,1.0
300,0.002211122831547749,1.0
350,0.0018550668035450892,1.0
400,0.0015953430259887619,1.0
450,0.001397905307080949,1.0
500,0.0012429667874215631,1.0
550,0.0011182709607169877,1.0
600,0.0010158335981682444,1.0
650,0.0009302383360768688,1.0
700,0.0008576843463648216,1.0
750,0.0007954284110430993,1.0
800,0.0007414421107983526,1.0
